,title,description,adress
16,트롯공주 임서원과 춤춰요스마트구몬 챌린지 실시,인스타그램이나 블로그에 다시 게재하는 리그램 챌린지와 리포스팅 챌린지로 진행된다 참여자 중 총 명을 선정해 스타벅스 음료 쿠폰을 제공한다 자세한 사항은 구몬학습 인스타그램 이벤트 계정과 블로그 채널을 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010713564
17,기획 미투 여비서 박원순 피해자 실명 공개한 누리꾼 집행유예,개인 블로그에 기획 미투 여비서를 고발합니다라는 제목의 글을 올리면서 피해자 이름과 근무지 등을 공개한 혐의로 재판에 넘겨졌다 손정연 부장판사는 피고인은 자신이 운영하는 네이버 밴드 메인화면과 블로그 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000628726
18,구몬학습 스마트구몬 챌린지 이벤트 진행,블로그에 다시 게재하는 리그램 챌린지와 리포스팅 챌린지로 진행된다 참여자 중 총 명을 선정해 스타벅스 음료 쿠폰을 제공한다 보다 자세한 사항은 구몬학습 인스타그램 이벤트 계정과 블로그 채널을 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004850900
19,박원순 성폭력 피해자 신상공개한 주부 징역형 집행유예 받아,최씨는 작년 월 가입자가 명 이상인 네이버 밴드와 블로그에 피해자 이름과 근무지 등을 담은 글을 올린 혐의로 재판에 넘겨졌다 검찰은 최씨에게 징역 년을 구형했다 재판부는 공소사실을 모두 유죄로 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004602775
20,박원순 성폭력 피해자 신상공개한 누리꾼 집행유예 선고,씨는 지난해 월 가입자가 명이 넘는 네이버 밴드와 블로그에 기획 미투 여비서를 고발합니다라는 손 판사는 공소사실을 모두 유죄로 인정하며 네이버 밴드와 블로그에 피해자 실명 등을 달 넘게 게시해 죄질이 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004967016
21,구몬학습 스마트구몬 챌린지 진행,블로그에 다시 게재하는 리그램 챌린지와 리포스팅 챌린지도 진행한다 참여자 중 총 명을 선정해 스타벅스 음료 쿠폰을 제공한다 보다 자세한 사항은 구몬학습 인스타그램 이벤트 계정과 블로그 채널을 통해 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005034174
22,경북도 경북 안심여행지 곳 소개 리플릿 제작,안심여행지는 시군의 추천을 받고 인스타그램블로그 등 소셜네트워크서비스에서 뜨고 있는 여행지도 함께 조사해 선정했다 특히 안심여행의 주제에 맞게 밀집도가 높지 않고 안전하게 여행할 수 있는지를 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004706673
23,미국 변호사가 블로그에 변호사 기재대법 무죄 확정,뉴스토마토  정해훈 기자 | 국내에서 자격을 갖추지 않은 미국 변호사가 자신의 블로그와 인스타그램에 운영하는 블로그에 포럼에 참석한 것과 관련한 글을 게시하면서 변호사라고 기재하고 자신의 인스타그램 ,http://www.newstomato.com/ReadNews.aspx?no=1072678&inflow=N
24,선한 영향력 백종원표 예능이 위기 맞은 까닭,호전된다면 그간의 약점을 보완해 다시 만날 수 있길 기대하면서 그간의 노고에 격려와 고마움을 표하고 싶다 덧붙이는 글 | 이 기사는 김상화 시민기자의 개인 블로그  에도 수록되는 글 입니다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=047&aid=0002326258
25,마이크로소프트 미국 내 사무실 출근 재개 무기한 연기,재러드 스파타로  부사장은 이날 블로그를 통해 코로나의 불확실성을 고려해 미국 내 사무실들을 완전히 다시 열 새로운 날짜를 예상하려고 노력하지 않기로 결정했다고 말했다 스파타로 부사장은 공중보건 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=021&aid=0002485114
26,코로나 불확실성 크다  사무실 출근 재개 무기한 연기,는 이날 회사 블로그에서 우리 미국 근무지를 완전 재개방하는 새로운 날짜를 예측하는 시도를 중단하기로 결정했다고 밝혔다 가능한 한 빨리 근무지를 개방하고 싶지만 공공보건 지침에 기반해 안전하게 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=421&aid=0005595238
27,마이크로소프트 미국 내 사무실 출근 무기한 연기,사 부사장인 재러드 스파타로는 자신의 블로그에 글을 올려 코로나 불확실성을 고려해 우리는 미국에서 사무실을 개방하는 날짜를 함부로 예상하지 않기로 했다고 말했다 그는 회사가 직원들의 사무실 복귀를 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=052&aid=0001638653
28,거리두기 연장 문건 유출한 인천시 공무원 선처,그는 당시 경기도 화성시가 사회적 거리두기를 주 동안 연장한다는 내용의 글을 이미 블로그에 게시해 해당 문건의 내용은 직무상 비밀로 볼 수 없다고 주장했습니다 그러나재판부는  씨가 공유한 문건은 화성시의 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011118320
