id,age,weight,height,gender
1,58,38,38,M
2,103,87,43,M
3,87,50,48,M
4,138,98,61,M
5,82,47,47,F
6,52,30,24,F
7,28,24,29,M
8,79,45,48,F
9,107,144,59,M
10,45,24,24,M
11,58,40,40,F
12,6,15,27,M
13,7,20,26,F
14,3,10,29,F
15,8,19,29,F
