drink,smoke,freq
1,1,20
1,2,30
1,3,20
1,4,25
1,5,30
2,1,20
2,2,20
2,3,35
2,4,37
2,5,31
3,1,16
3,2,29
3,3,40
3,4,45
3,5,30
4,1,9
4,2,10
4,3,35
4,4,37
4,5,31
5,1,10
5,2,10
5,3,26
5,4,39
5,5,40
