일시,현재기온,현재습도,일사량,현재풍속,최고기온,최저기온
1:00,15.4,69.2,0,0.5,16.3,15.3
2:00,15.5,69.4,0,0.6,15.9,15
3:00,15.1,69.4,0,0.5,15.9,15.1
4:00,14.4,70.2,0,0.5,15.1,14.1
5:00,14,70.6,0,0.6,14.6,13.9
6:00,15.3,71.1,67,0.8,15.3,13.8
7:00,16.4,70.4,119.9,0.8,16.5,15.4
8:00,17.3,70.2,262,0.3,17.5,16.4
9:00,19,69.7,670.2,0.9,19.1,17.4
10:00,20.9,69.5,1019,1.2,20.9,19.1
11:00,22.6,69.1,830,1,22.6,21
12:00,23.2,67.8,739,1,23.8,22.6
