""
,title,description,adress
16,유라 커피머신  출시 콜드브루와 핫브루 모두 가능,스위스 프리미엄 커피 머신 브랜드 유라가 세계 최초 콜드브루와 핫브루 모두 가능한 을 출시했다고 일 밝혔다 유라 은 혁신적인 커피 추출 기술들을 접목해 누구나 터치 한 번으로 콜드브루와 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=014&aid=0004695317
17,커피에서 꽃향기가동서식품 맥심 티오피 심플리스무스 플라워 피니시,동서식품은 커피음료 최초로 은은한 꽃향을 담아낸 프리미엄    커피음료 맥심 티오피 심플리스무스 플라워 피니시 종을 출시한다고 일 밝혔다 이번 신제품은 마일드 로스팅으로 깔끔하고 부드러운 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004692860
18,이디야커피 에너지의 날 맞아 에너지 절약 켐페인  프로모션,이디야커피가 제 회 에너지의 날을 맞아 불을 끄고 별을 켜다 캠페인에 참여하며 매장 내 프로모션을 이디야 본사 및 캠페인에 참여하는 이디야커피 매장은 일 캠페인에 동참해 전력 소비 피크 시간인 오후 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002252854
19,책꽂이 다방협회가 커피 안팔기 운동을 했었다,년 기준 우리나라의 커피 수입량은 세계 위다 성인 인당 연간 잔을 마실 수 있는 양이다 커피 공화국 국민 음료 등의 말이 이제는 전혀 어색하지 않다 하지만 매일 커피를 마시는 사람들도 커피의 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=011&aid=0003951721
20,롯데 예술과 커피가 있는 갤러리 스토어  오픈,롯데대표 차우철가 롯데백화점 동탄점 층에 공간예술과 친환경을 커피와 함께 즐길 수 있는 경험과 커피티 문화를 함께 즐기는 문화의 공간으로 알려질 것으로 기대한다고 말했다  동선에 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002252838
21,이병헌 커피차 선물에 당황 본인 사진을 이렇게이민정도 폭소,일 이병헌은 개인 인스타그램에 커피차 보내시면서 본인 사진을 이렇게 크게라며 잘 마실게요 공개된 사진 속에는 영화 콘크리트 유토피아 촬영 현장에 도착한 커피차의 모습이 담겼다 커피차에는 엄태화 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=117&aid=0003528632
22,춘천커피도시 페스타 내달 일 막오른다,강원 춘천시가 대한민국 커피도시로의 모습을 드러낸다 시는 오는 월 일 춘천커피도시페스타 개막식을 개최하고 일까지 커피와 관련한 다채로운 박람회를 진행한다고 일 밝혔다 개막식에는 이재수 ,http://www.shinailbo.co.kr/news/articleView.html?idxno=1453216
23,안보현 커피차 앞 우월 피지컬장발에도 잘생김주의보,커피차 선물에 감사를 표했다 배우 안보현은 일 오후 자신의 인스타그램을 통해 사진들을 게재했다 이번에 함께 공개된 사진에는 티빙과 에서 동시 공개되는 티빙 오리지널 유미의 세포들 촬영현장에 마련된 커피 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=112&aid=0003470541
24,부산 롯데백화점 커피 마시며 옷 고르는 백화점 남성관 눈길,매장 한켠에서는 옷을 고르며 쇼핑을 즐김과 동시에 한쪽에서는 커피 등 차를 마시며 쉴 수 있는 공간이 마련된 것이다 송지오옴므페이브에서는 바리스타가 직접 만든 커피 음료 및 베이커리 등을 판매하며 여기에 ,https://ilyo.co.kr/?ac=article_view&entry_id=410213
25,녹내장 환자 하루에 커피 한두 잔은 마셔도 된다,과도한 카페인과 음주는 자제 흡연은 금지 녹내장환자라고 해서 커피를 끊을 필요는 없다 성인의 하루 카페인 권장 섭취량은 으로 하루 한두 잔의 커피는 안압에 큰 영향을 미치지 않기 때문이다 그러나 카페인을 ,http://www.kmedinfo.co.kr/news/articleView.html?idxno=69635
